




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
cytoplasmic U snRNP body (GO:0071254)	1	1	.03	+	35.01	5.48E-02	1.00E00
collagen type XVI trimer (GO:0005597)	1	1	.03	+	35.01	5.48E-02	1.00E00
collagen type XV trimer (GO:0005582)	1	1	.03	+	35.01	5.48E-02	1.00E00
macropinocytic cup (GO:0070685)	1	1	.03	+	35.01	5.48E-02	1.00E00
cardiac myofibril (GO:0097512)	1	1	.03	+	35.01	5.48E-02	1.00E00
PUMA-BCL-xl complex (GO:0097143)	1	1	.03	+	35.01	5.48E-02	1.00E00
GATOR1 complex (GO:1990130)	3	2	.09	+	23.34	7.26E-03	1.00E00
mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) (GO:0000276)	2	1	.06	+	17.50	8.10E-02	1.00E00
Ragulator complex (GO:0071986)	2	1	.06	+	17.50	8.10E-02	1.00E00
CD95 death-inducing signaling complex (GO:0031265)	4	2	.11	+	17.50	1.07E-02	1.00E00
U7 snRNP (GO:0005683)	2	1	.06	+	17.50	8.10E-02	1.00E00
ripoptosome (GO:0097342)	2	1	.06	+	17.50	8.10E-02	1.00E00
mitochondrial pyruvate dehydrogenase complex (GO:0005967)	4	2	.11	+	17.50	1.07E-02	1.00E00
protein kinase CK2 complex (GO:0005956)	2	1	.06	+	17.50	8.10E-02	1.00E00
collagen type V trimer (GO:0005588)	2	1	.06	+	17.50	8.10E-02	1.00E00
endothelial microparticle (GO:0072563)	2	1	.06	+	17.50	8.10E-02	1.00E00
pyruvate dehydrogenase complex (GO:0045254)	4	2	.11	+	17.50	1.07E-02	1.00E00
muscle thin filament tropomyosin (GO:0005862)	2	1	.06	+	17.50	8.10E-02	1.00E00
SLIK (SAGA-like) complex (GO:0046695)	2	1	.06	+	17.50	8.10E-02	1.00E00
basement membrane collagen trimer (GO:0098651)	2	1	.06	+	17.50	8.10E-02	1.00E00
integrin alphaM-beta2 complex (GO:0034688)	2	1	.06	+	17.50	8.10E-02	1.00E00
Elg1 RFC-like complex (GO:0031391)	2	1	.06	+	17.50	8.10E-02	1.00E00
gamma DNA polymerase complex (GO:0005760)	2	1	.06	+	17.50	8.10E-02	1.00E00
outer dynein arm (GO:0036157)	2	1	.06	+	17.50	8.10E-02	1.00E00
mitochondrial crista (GO:0030061)	5	2	.14	+	14.00	1.47E-02	1.00E00
ASTRA complex (GO:0070209)	3	1	.09	+	11.67	1.07E-01	1.00E00
CAF-1 complex (GO:0033186)	3	1	.09	+	11.67	1.07E-01	1.00E00
cyclin/CDK positive transcription elongation factor complex (GO:0008024)	3	1	.09	+	11.67	1.07E-01	1.00E00
death-inducing signaling complex (GO:0031264)	6	2	.17	+	11.67	1.92E-02	1.00E00
BMP receptor complex (GO:0070724)	3	1	.09	+	11.67	1.07E-01	1.00E00
TTT complex (GO:0110078)	3	1	.09	+	11.67	1.07E-01	1.00E00
FACIT collagen trimer (GO:0005593)	3	1	.09	+	11.67	1.07E-01	1.00E00
proton-transporting ATP synthase complex, coupling factor F(o) (GO:0045263)	3	1	.09	+	11.67	1.07E-01	1.00E00
VCP-NPL4-UFD1 AAA ATPase complex (GO:0034098)	6	2	.17	+	11.67	1.92E-02	1.00E00
mitochondrial proton-transporting ATP synthase complex (GO:0005753)	3	1	.09	+	11.67	1.07E-01	1.00E00
Seh1-associated complex (GO:0035859)	7	2	.20	+	10.00	2.43E-02	1.00E00
mCRD-mediated mRNA stability complex (GO:0106002)	4	1	.11	+	8.75	1.31E-01	1.00E00
DNA replication factor C complex (GO:0005663)	4	1	.11	+	8.75	1.31E-01	1.00E00
paraspeckles (GO:0042382)	4	1	.11	+	8.75	1.31E-01	1.00E00
synaptic cleft (GO:0043083)	4	1	.11	+	8.75	1.31E-01	1.00E00
proton-transporting ATP synthase complex (GO:0045259)	4	1	.11	+	8.75	1.31E-01	1.00E00
retromer, tubulation complex (GO:0030905)	4	1	.11	+	8.75	1.31E-01	1.00E00
Atg1/ULK1 kinase complex (GO:1990316)	4	1	.11	+	8.75	1.31E-01	1.00E00
activin receptor complex (GO:0048179)	4	1	.11	+	8.75	1.31E-01	1.00E00
Bcl-2 family protein complex (GO:0097136)	4	1	.11	+	8.75	1.31E-01	1.00E00
tubular endosome (GO:0097422)	5	1	.14	+	7.00	1.56E-01	1.00E00
Hrd1p ubiquitin ligase ERAD-L complex (GO:0000839)	5	1	.14	+	7.00	1.56E-01	1.00E00
striated muscle thin filament (GO:0005865)	5	1	.14	+	7.00	1.56E-01	1.00E00
Ctf18 RFC-like complex (GO:0031390)	5	1	.14	+	7.00	1.56E-01	1.00E00
delta DNA polymerase complex (GO:0043625)	5	1	.14	+	7.00	1.56E-01	1.00E00
tetraspanin-enriched microdomain (GO:0097197)	5	1	.14	+	7.00	1.56E-01	1.00E00
extrinsic component of endosome membrane (GO:0031313)	5	1	.14	+	7.00	1.56E-01	1.00E00
proton-transporting two-sector ATPase complex, proton-transporting domain (GO:0033177)	6	1	.17	+	5.83	1.79E-01	1.00E00
bleb (GO:0032059)	6	1	.17	+	5.83	1.79E-01	1.00E00
Hrd1p ubiquitin ligase complex (GO:0000836)	6	1	.17	+	5.83	1.79E-01	1.00E00
ubiquinone biosynthesis complex (GO:0110142)	6	1	.17	+	5.83	1.79E-01	1.00E00
myofilament (GO:0036379)	6	1	.17	+	5.83	1.79E-01	1.00E00
fibrillar collagen trimer (GO:0005583)	6	1	.17	+	5.83	1.79E-01	1.00E00
axonemal dynein complex (GO:0005858)	6	1	.17	+	5.83	1.79E-01	1.00E00
banded collagen fibril (GO:0098643)	6	1	.17	+	5.83	1.79E-01	1.00E00
nuclear pore outer ring (GO:0031080)	6	1	.17	+	5.83	1.79E-01	1.00E00
ER ubiquitin ligase complex (GO:0000835)	7	1	.20	+	5.00	2.02E-01	1.00E00
oligosaccharyltransferase complex (GO:0008250)	7	1	.20	+	5.00	2.02E-01	1.00E00
complex of collagen trimers (GO:0098644)	7	1	.20	+	5.00	2.02E-01	1.00E00
dense core granule (GO:0031045)	7	1	.20	+	5.00	2.02E-01	1.00E00
integral component of synaptic vesicle membrane (GO:0030285)	7	1	.20	+	5.00	2.02E-01	1.00E00
nuclear cyclin-dependent protein kinase holoenzyme complex (GO:0019908)	7	1	.20	+	5.00	2.02E-01	1.00E00
tertiary granule membrane (GO:0070821)	29	4	.83	+	4.83	1.26E-02	1.00E00
DNA polymerase complex (GO:0042575)	15	2	.43	+	4.67	7.94E-02	1.00E00
Cul3-RING ubiquitin ligase complex (GO:0031463)	16	2	.46	+	4.38	8.78E-02	1.00E00
Golgi medial cisterna (GO:0005797)	8	1	.23	+	4.38	2.24E-01	1.00E00
nuclear inclusion body (GO:0042405)	9	1	.26	+	3.89	2.46E-01	1.00E00
protein phosphatase type 2A complex (GO:0000159)	9	1	.26	+	3.89	2.46E-01	1.00E00
cytoplasmic ubiquitin ligase complex (GO:0000153)	9	1	.26	+	3.89	2.46E-01	1.00E00
nucleotide-excision repair complex (GO:0000109)	9	1	.26	+	3.89	2.46E-01	1.00E00
desmosome (GO:0030057)	9	1	.26	+	3.89	2.46E-01	1.00E00
nuclear replisome (GO:0043601)	9	1	.26	+	3.89	2.46E-01	1.00E00
post-mRNA release spliceosomal complex (GO:0071014)	9	1	.26	+	3.89	2.46E-01	1.00E00
intrinsic component of synaptic vesicle membrane (GO:0098563)	9	1	.26	+	3.89	2.46E-01	1.00E00
aggresome (GO:0016235)	19	2	.54	+	3.69	1.14E-01	1.00E00
U1 snRNP (GO:0005685)	10	1	.29	+	3.50	2.67E-01	1.00E00
azurophil granule membrane (GO:0035577)	30	3	.86	+	3.50	6.26E-02	1.00E00
hippocampal mossy fiber to CA3 synapse (GO:0098686)	10	1	.29	+	3.50	2.67E-01	1.00E00
lipid droplet (GO:0005811)	50	5	1.43	+	3.50	1.78E-02	1.00E00
retromer complex (GO:0030904)	10	1	.29	+	3.50	2.67E-01	1.00E00
prespliceosome (GO:0071010)	10	1	.29	+	3.50	2.67E-01	1.00E00
replisome (GO:0030894)	10	1	.29	+	3.50	2.67E-01	1.00E00
U2-type prespliceosome (GO:0071004)	10	1	.29	+	3.50	2.67E-01	1.00E00
pericentriolar material (GO:0000242)	11	1	.31	+	3.18	2.87E-01	1.00E00
guanyl-nucleotide exchange factor complex (GO:0032045)	11	1	.31	+	3.18	2.87E-01	1.00E00
integrin complex (GO:0008305)	11	1	.31	+	3.18	2.87E-01	1.00E00
intrinsic component of peroxisomal membrane (GO:0031231)	11	1	.31	+	3.18	2.87E-01	1.00E00
TRAPP complex (GO:0030008)	11	1	.31	+	3.18	2.87E-01	1.00E00
M band (GO:0031430)	11	1	.31	+	3.18	2.87E-01	1.00E00
preribosome, small subunit precursor (GO:0030688)	11	1	.31	+	3.18	2.87E-01	1.00E00
COP9 signalosome (GO:0008180)	11	1	.31	+	3.18	2.87E-01	1.00E00
extrinsic component of mitochondrial inner membrane (GO:0031314)	11	1	.31	+	3.18	2.87E-01	1.00E00
integral component of peroxisomal membrane (GO:0005779)	11	1	.31	+	3.18	2.87E-01	1.00E00
transcription elongation factor complex (GO:0008023)	23	2	.66	+	3.04	1.52E-01	1.00E00
proton-transporting two-sector ATPase complex (GO:0016469)	12	1	.34	+	2.92	3.07E-01	1.00E00
carboxy-terminal domain protein kinase complex (GO:0032806)	12	1	.34	+	2.92	3.07E-01	1.00E00
anchored component of plasma membrane (GO:0046658)	12	1	.34	+	2.92	3.07E-01	1.00E00
actin filament bundle (GO:0032432)	36	3	1.03	+	2.92	9.31E-02	1.00E00
clathrin-coated endocytic vesicle (GO:0045334)	25	2	.71	+	2.80	1.72E-01	1.00E00
lysosomal lumen (GO:0043202)	38	3	1.09	+	2.76	1.04E-01	1.00E00
perikaryon (GO:0043204)	39	3	1.11	+	2.69	1.10E-01	1.00E00
specific granule membrane (GO:0035579)	40	3	1.14	+	2.63	1.16E-01	1.00E00
collagen trimer (GO:0005581)	27	2	.77	+	2.59	1.92E-01	1.00E00
inclusion body (GO:0016234)	41	3	1.17	+	2.56	1.22E-01	1.00E00
SAGA complex (GO:0000124)	14	1	.40	+	2.50	3.45E-01	1.00E00
phagocytic cup (GO:0001891)	14	1	.40	+	2.50	3.45E-01	1.00E00
azurophil granule (GO:0042582)	71	5	2.03	+	2.47	5.95E-02	1.00E00
primary lysosome (GO:0005766)	71	5	2.03	+	2.47	5.95E-02	1.00E00
secretory granule membrane (GO:0030667)	129	9	3.68	+	2.44	1.44E-02	1.00E00
integral component of presynaptic membrane (GO:0099056)	15	1	.43	+	2.33	3.63E-01	1.00E00
extrinsic component of organelle membrane (GO:0031312)	30	2	.86	+	2.33	2.23E-01	1.00E00
A band (GO:0031672)	15	1	.43	+	2.33	3.63E-01	1.00E00
transport vesicle membrane (GO:0030658)	77	5	2.20	+	2.27	7.72E-02	1.00E00
endoplasmic reticulum protein-containing complex (GO:0140534)	63	4	1.80	+	2.22	1.15E-01	1.00E00
mitochondrial inner membrane (GO:0005743)	223	14	6.37	+	2.20	7.25E-03	1.00E00
photoreceptor inner segment (GO:0001917)	16	1	.46	+	2.19	3.81E-01	1.00E00
clathrin-coated endocytic vesicle membrane (GO:0030669)	16	1	.46	+	2.19	3.81E-01	1.00E00
endoplasmic reticulum tubular network (GO:0071782)	16	1	.46	+	2.19	3.81E-01	1.00E00
protein complex involved in cell adhesion (GO:0098636)	16	1	.46	+	2.19	3.81E-01	1.00E00
specific granule (GO:0042581)	64	4	1.83	+	2.19	1.20E-01	1.00E00
filamentous actin (GO:0031941)	16	1	.46	+	2.19	3.81E-01	1.00E00
tertiary granule (GO:0070820)	65	4	1.86	+	2.15	1.25E-01	1.00E00
contractile actin filament bundle (GO:0097517)	33	2	.94	+	2.12	2.54E-01	1.00E00
stress fiber (GO:0001725)	33	2	.94	+	2.12	2.54E-01	1.00E00
cis-Golgi network (GO:0005801)	34	2	.97	+	2.06	2.64E-01	1.00E00
vacuolar lumen (GO:0005775)	69	4	1.97	+	2.03	1.44E-01	1.00E00
exocytic vesicle membrane (GO:0099501)	35	2	1.00	+	2.00	2.74E-01	1.00E00
synaptic vesicle membrane (GO:0030672)	35	2	1.00	+	2.00	2.74E-01	1.00E00
intrinsic component of presynaptic membrane (GO:0098889)	18	1	.51	+	1.94	4.15E-01	1.00E00
microtubule plus-end (GO:0035371)	18	1	.51	+	1.94	4.15E-01	1.00E00
magnesium-dependent protein serine/threonine phosphatase complex (GO:0005963)	18	1	.51	+	1.94	4.15E-01	1.00E00
myosin complex (GO:0016459)	18	1	.51	+	1.94	4.15E-01	1.00E00
basolateral plasma membrane (GO:0016323)	90	5	2.57	+	1.94	1.92E-01	1.00E00
centriole (GO:0005814)	91	5	2.60	+	1.92	1.94E-01	1.00E00
organelle inner membrane (GO:0019866)	255	14	7.28	+	1.92	2.14E-02	1.00E00
serine/threonine protein kinase complex (GO:1902554)	55	3	1.57	+	1.91	2.18E-01	1.00E00
mitochondrial outer membrane (GO:0005741)	110	6	3.14	+	1.91	1.40E-01	1.00E00
azurophil granule lumen (GO:0035578)	37	2	1.06	+	1.89	2.95E-01	1.00E00
blood microparticle (GO:0072562)	37	2	1.06	+	1.89	2.95E-01	1.00E00
Cajal body (GO:0015030)	38	2	1.09	+	1.84	3.06E-01	1.00E00
actomyosin (GO:0042641)	38	2	1.09	+	1.84	3.06E-01	1.00E00
small nuclear ribonucleoprotein complex (GO:0030532)	38	2	1.09	+	1.84	3.06E-01	1.00E00
mitochondrial envelope (GO:0005740)	380	20	10.85	+	1.84	1.10E-02	1.00E00
sperm flagellum (GO:0036126)	39	2	1.11	+	1.80	3.16E-01	1.00E00
basement membrane (GO:0005604)	39	2	1.11	+	1.80	3.16E-01	1.00E00
mitochondrial intermembrane space (GO:0005758)	39	2	1.11	+	1.80	3.16E-01	1.00E00
mitochondrial membrane (GO:0031966)	354	18	10.11	+	1.78	2.15E-02	1.00E00
ER to Golgi transport vesicle membrane (GO:0012507)	20	1	.57	+	1.75	4.47E-01	1.00E00
nuclear replication fork (GO:0043596)	20	1	.57	+	1.75	4.47E-01	1.00E00
transcription factor TFIID complex (GO:0005669)	20	1	.57	+	1.75	4.47E-01	1.00E00
specific granule lumen (GO:0035580)	20	1	.57	+	1.75	4.47E-01	1.00E00
spindle midzone (GO:0051233)	20	1	.57	+	1.75	4.47E-01	1.00E00
cleavage furrow (GO:0032154)	20	1	.57	+	1.75	4.47E-01	1.00E00
organelle outer membrane (GO:0031968)	120	6	3.43	+	1.75	1.66E-01	1.00E00
outer membrane (GO:0019867)	121	6	3.46	+	1.74	1.68E-01	1.00E00
basal plasma membrane (GO:0009925)	101	5	2.88	+	1.73	2.21E-01	1.00E00
nuclear matrix (GO:0016363)	61	3	1.74	+	1.72	2.62E-01	1.00E00
mitochondrial matrix (GO:0005759)	265	13	7.57	+	1.72	6.02E-02	1.00E00
ribosome (GO:0005840)	82	4	2.34	+	1.71	3.04E-01	1.00E00
collagen-containing extracellular matrix (GO:0062023)	145	7	4.14	+	1.69	2.02E-01	1.00E00
oxidoreductase complex (GO:1990204)	42	2	1.20	+	1.67	3.47E-01	1.00E00
PML body (GO:0016605)	63	3	1.80	+	1.67	4.32E-01	1.00E00
