




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
alpha-sialidase activity (GO:0016997)	1	1	.03	+	35.01	5.48E-02	1.00E00
ganglioside GP1c binding (GO:1905577)	1	1	.03	+	35.01	5.48E-02	1.00E00
ganglioside GT1b binding (GO:1905576)	1	1	.03	+	35.01	5.48E-02	1.00E00
ganglioside GM3 binding (GO:1905575)	1	1	.03	+	35.01	5.48E-02	1.00E00
ganglioside GM2 binding (GO:1905574)	1	1	.03	+	35.01	5.48E-02	1.00E00
exo-alpha-sialidase activity (GO:0004308)	1	1	.03	+	35.01	5.48E-02	1.00E00
parathyroid hormone receptor activity (GO:0004991)	1	1	.03	+	35.01	5.48E-02	1.00E00
2-(3-amino-3-carboxypropyl)histidine synthase activity (GO:0090560)	2	2	.06	+	35.01	4.44E-03	1.00E00
6-pyruvoyltetrahydropterin synthase activity (GO:0003874)	1	1	.03	+	35.01	5.48E-02	1.00E00
11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity (GO:0003845)	1	1	.03	+	35.01	5.48E-02	1.00E00
dihydrolipoamide S-acyltransferase activity (GO:0030523)	1	1	.03	+	35.01	5.48E-02	1.00E00
L-leucine:2-oxoglutarate aminotransferase activity (GO:0050048)	1	1	.03	+	35.01	5.48E-02	1.00E00
Ala-tRNA(Thr) hydrolase activity (GO:0106105)	1	1	.03	+	35.01	5.48E-02	1.00E00
carbon-oxygen lyase activity, acting on phosphates (GO:0016838)	1	1	.03	+	35.01	5.48E-02	1.00E00
AF-1 domain binding (GO:0050683)	1	1	.03	+	35.01	5.48E-02	1.00E00
inositol diphosphate pentakisphosphate diphosphatase activity (GO:0052842)	1	1	.03	+	35.01	5.48E-02	1.00E00
inositol diphosphate tetrakisphosphate diphosphatase activity (GO:0052840)	1	1	.03	+	35.01	5.48E-02	1.00E00
exo-alpha-(2->8)-sialidase activity (GO:0052796)	1	1	.03	+	35.01	5.48E-02	1.00E00
exo-alpha-(2->6)-sialidase activity (GO:0052795)	1	1	.03	+	35.01	5.48E-02	1.00E00
exo-alpha-(2->3)-sialidase activity (GO:0052794)	1	1	.03	+	35.01	5.48E-02	1.00E00
U7 snRNA binding (GO:0071209)	1	1	.03	+	35.01	5.48E-02	1.00E00
dihydrolipoyllysine-residue acetyltransferase activity (GO:0004742)	1	1	.03	+	35.01	5.48E-02	1.00E00
diphosphoinositol-polyphosphate diphosphatase activity (GO:0008486)	1	1	.03	+	35.01	5.48E-02	1.00E00
