




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	13_Adipose_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	13_Adipose_DeAndDiuGenes.txt (120)	13_Adipose_DeAndDiuGenes.txt (expected)	13_Adipose_DeAndDiuGenes.txt (over/under)	13_Adipose_DeAndDiuGenes.txt (fold Enrichment)	13_Adipose_DeAndDiuGenes.txt (raw P-value)	13_Adipose_DeAndDiuGenes.txt (FDR)
extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	1	1	.02	+	59.52	3.28E-02	1.00E00
fatty acid beta-oxidation multienzyme complex (GO:0036125)	2	2	.03	+	59.52	1.59E-03	1.95E-01
PCNA-p21 complex (GO:0070557)	1	1	.02	+	59.52	3.28E-02	1.00E00
ATF1-ATF4 transcription factor complex (GO:1990590)	1	1	.02	+	59.52	3.28E-02	1.00E00
6-phosphofructo-2-kinase/fructose-2,6-biphosphatase complex (GO:0043540)	1	1	.02	+	59.52	3.28E-02	1.00E00
mitochondrial fatty acid beta-oxidation multienzyme complex (GO:0016507)	2	2	.03	+	59.52	1.59E-03	1.82E-01
acrosomal matrix (GO:0043159)	1	1	.02	+	59.52	3.28E-02	1.00E00
collagen type III trimer (GO:0005586)	1	1	.02	+	59.52	3.28E-02	1.00E00
collagen type XV trimer (GO:0005582)	1	1	.02	+	59.52	3.28E-02	1.00E00
laminin-11 complex (GO:0043260)	3	2	.05	+	39.68	2.62E-03	2.25E-01
extrinsic component of presynaptic membrane (GO:0098888)	2	1	.03	+	29.76	4.88E-02	1.00E00
neurofibrillary tangle (GO:0097418)	2	1	.03	+	29.76	4.88E-02	1.00E00
leading edge of lamellipodium (GO:0061851)	2	1	.03	+	29.76	4.88E-02	1.00E00
laminin-3 complex (GO:0005608)	2	1	.03	+	29.76	4.88E-02	1.00E00
mitochondrial pyruvate dehydrogenase complex (GO:0005967)	4	2	.07	+	29.76	3.89E-03	3.18E-01
L-type voltage-gated calcium channel complex (GO:1990454)	2	1	.03	+	29.76	4.88E-02	1.00E00
fumarate reductase complex (GO:0045283)	2	1	.03	+	29.76	4.88E-02	1.00E00
succinate dehydrogenase complex (GO:0045281)	2	1	.03	+	29.76	4.88E-02	1.00E00
respiratory chain complex II (GO:0045273)	2	1	.03	+	29.76	4.88E-02	1.00E00
synaptic cleft (GO:0043083)	4	2	.07	+	29.76	3.89E-03	3.03E-01
succinate dehydrogenase complex (ubiquinone) (GO:0045257)	2	1	.03	+	29.76	4.88E-02	1.00E00
pyruvate dehydrogenase complex (GO:0045254)	4	2	.07	+	29.76	3.89E-03	2.90E-01
basement membrane collagen trimer (GO:0098651)	2	1	.03	+	29.76	4.88E-02	1.00E00
ATR-ATRIP complex (GO:0070310)	2	1	.03	+	29.76	4.88E-02	1.00E00
early phagosome membrane (GO:0036186)	2	1	.03	+	29.76	4.88E-02	1.00E00
mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone) (GO:0005749)	2	1	.03	+	29.76	4.88E-02	1.00E00
integral component of presynaptic active zone membrane (GO:0099059)	5	2	.08	+	23.81	5.39E-03	3.42E-01
laminin-10 complex (GO:0043259)	3	1	.05	+	19.84	6.45E-02	1.00E00
CAF-1 complex (GO:0033186)	3	1	.05	+	19.84	6.45E-02	1.00E00
presynaptic endocytic zone membrane (GO:0098835)	3	1	.05	+	19.84	6.45E-02	1.00E00
ATF4-CREB1 transcription factor complex (GO:1990589)	3	1	.05	+	19.84	6.45E-02	1.00E00
presynaptic endocytic zone (GO:0098833)	3	1	.05	+	19.84	6.45E-02	1.00E00
laminin-5 complex (GO:0005610)	3	1	.05	+	19.84	6.45E-02	1.00E00
laminin-1 complex (GO:0005606)	3	1	.05	+	19.84	6.45E-02	1.00E00
mitochondrial alpha-ketoglutarate dehydrogenase complex (GO:0005947)	3	1	.05	+	19.84	6.45E-02	1.00E00
GATOR1 complex (GO:1990130)	3	1	.05	+	19.84	6.45E-02	1.00E00
endosome to plasma membrane transport vesicle (GO:0070381)	3	1	.05	+	19.84	6.45E-02	1.00E00
oxoglutarate dehydrogenase complex (GO:0045252)	3	1	.05	+	19.84	6.45E-02	1.00E00
chaperonin-containing T-complex (GO:0005832)	3	1	.05	+	19.84	6.45E-02	1.00E00
mitochondrion-derived vesicle (GO:0099073)	3	1	.05	+	19.84	6.45E-02	1.00E00
zona pellucida receptor complex (GO:0002199)	3	1	.05	+	19.84	6.45E-02	1.00E00
intrinsic component of presynaptic active zone membrane (GO:0098945)	7	2	.12	+	17.00	9.04E-03	5.17E-01
laminin complex (GO:0043256)	11	3	.18	+	16.23	1.40E-03	1.85E-01
dendritic spine neck (GO:0044326)	4	1	.07	+	14.88	8.00E-02	1.00E00
endoplasmic reticulum tubular network membrane (GO:0098826)	4	1	.07	+	14.88	8.00E-02	1.00E00
early phagosome (GO:0032009)	4	1	.07	+	14.88	8.00E-02	1.00E00
cytosolic proteasome complex (GO:0031597)	4	1	.07	+	14.88	8.00E-02	1.00E00
proteasome regulatory particle, lid subcomplex (GO:0008541)	4	1	.07	+	14.88	8.00E-02	1.00E00
dendritic filopodium (GO:1902737)	4	1	.07	+	14.88	8.00E-02	1.00E00
parallel fiber to Purkinje cell synapse (GO:0098688)	4	1	.07	+	14.88	8.00E-02	1.00E00
macropinosome (GO:0044354)	5	1	.08	+	11.90	9.52E-02	1.00E00
pinosome (GO:0044352)	5	1	.08	+	11.90	9.52E-02	1.00E00
dihydrolipoyl dehydrogenase complex (GO:0045240)	5	1	.08	+	11.90	9.52E-02	1.00E00
costamere (GO:0043034)	5	1	.08	+	11.90	9.52E-02	1.00E00
low-density lipoprotein particle (GO:0034362)	5	1	.08	+	11.90	9.52E-02	1.00E00
very-low-density lipoprotein particle (GO:0034361)	5	1	.08	+	11.90	9.52E-02	1.00E00
tetraspanin-enriched microdomain (GO:0097197)	5	1	.08	+	11.90	9.52E-02	1.00E00
presynaptic active zone membrane (GO:0048787)	11	2	.18	+	10.82	1.88E-02	8.69E-01
ubiquinone biosynthesis complex (GO:0110142)	6	1	.10	+	9.92	1.10E-01	1.00E00
keratin filament (GO:0045095)	6	1	.10	+	9.92	1.10E-01	1.00E00
extrinsic component of synaptic membrane (GO:0099243)	6	1	.10	+	9.92	1.10E-01	1.00E00
cell body membrane (GO:0044298)	6	1	.10	+	9.92	1.10E-01	1.00E00
fibrillar collagen trimer (GO:0005583)	6	1	.10	+	9.92	1.10E-01	1.00E00
neuronal cell body membrane (GO:0032809)	6	1	.10	+	9.92	1.10E-01	1.00E00
banded collagen fibril (GO:0098643)	6	1	.10	+	9.92	1.10E-01	1.00E00
triglyceride-rich plasma lipoprotein particle (GO:0034385)	6	1	.10	+	9.92	1.10E-01	1.00E00
MICOS complex (GO:0061617)	6	1	.10	+	9.92	1.10E-01	1.00E00
beta-catenin destruction complex (GO:0030877)	6	1	.10	+	9.92	1.10E-01	1.00E00
T-tubule (GO:0030315)	20	3	.34	+	8.93	6.12E-03	3.75E-01
mitochondrial tricarboxylic acid cycle enzyme complex (GO:0030062)	7	1	.12	+	8.50	1.25E-01	1.00E00
Seh1-associated complex (GO:0035859)	7	1	.12	+	8.50	1.25E-01	1.00E00
dendritic spine membrane (GO:0032591)	7	1	.12	+	8.50	1.25E-01	1.00E00
complex of collagen trimers (GO:0098644)	7	1	.12	+	8.50	1.25E-01	1.00E00
high-density lipoprotein particle (GO:0034364)	7	1	.12	+	8.50	1.25E-01	1.00E00
integral component of presynaptic membrane (GO:0099056)	15	2	.25	+	7.94	3.13E-02	1.00E00
basement membrane (GO:0005604)	39	5	.66	+	7.63	7.35E-04	1.40E-01
sperm principal piece (GO:0097228)	8	1	.13	+	7.44	1.39E-01	1.00E00
integral component of postsynaptic density membrane (GO:0099061)	8	1	.13	+	7.44	1.39E-01	1.00E00
integral component of postsynaptic specialization membrane (GO:0099060)	8	1	.13	+	7.44	1.39E-01	1.00E00
intrinsic component of presynaptic membrane (GO:0098889)	18	2	.30	+	6.61	4.24E-02	1.00E00
protein phosphatase type 2A complex (GO:0000159)	9	1	.15	+	6.61	1.54E-01	1.00E00
tricarboxylic acid cycle enzyme complex (GO:0045239)	9	1	.15	+	6.61	1.54E-01	1.00E00
MIB complex (GO:0140275)	9	1	.15	+	6.61	1.54E-01	1.00E00
PRC1 complex (GO:0035102)	9	1	.15	+	6.61	1.54E-01	1.00E00
SAM complex (GO:0001401)	9	1	.15	+	6.61	1.54E-01	1.00E00
respiratory chain complex (GO:0098803)	19	2	.32	+	6.26	4.63E-02	1.00E00
integral component of synaptic membrane (GO:0099699)	29	3	.49	+	6.16	1.54E-02	7.55E-01
clathrin coat of coated pit (GO:0030132)	10	1	.17	+	5.95	1.68E-01	1.00E00
excitatory synapse (GO:0060076)	10	1	.17	+	5.95	1.68E-01	1.00E00
intrinsic component of postsynaptic density membrane (GO:0099146)	10	1	.17	+	5.95	1.68E-01	1.00E00
voltage-gated calcium channel complex (GO:0005891)	10	1	.17	+	5.95	1.68E-01	1.00E00
intrinsic component of postsynaptic specialization membrane (GO:0098948)	10	1	.17	+	5.95	1.68E-01	1.00E00
platelet alpha granule membrane (GO:0031092)	10	1	.17	+	5.95	1.68E-01	1.00E00
mitochondrial respirasome (GO:0005746)	20	2	.34	+	5.95	5.04E-02	1.00E00
integral component of mitochondrial inner membrane (GO:0031305)	31	3	.52	+	5.76	1.81E-02	8.64E-01
oxidoreductase complex (GO:1990204)	42	4	.71	+	5.67	6.78E-03	4.01E-01
intrinsic component of mitochondrial inner membrane (GO:0031304)	32	3	.54	+	5.58	1.96E-02	8.85E-01
respirasome (GO:0070469)	22	2	.37	+	5.41	5.90E-02	1.00E00
cytosolic large ribosomal subunit (GO:0022625)	11	1	.18	+	5.41	1.81E-01	1.00E00
intrinsic component of synaptic membrane (GO:0099240)	34	3	.57	+	5.25	2.27E-02	9.75E-01
lipoprotein particle (GO:1990777)	12	1	.20	+	4.96	1.95E-01	1.00E00
proteasome regulatory particle (GO:0005838)	12	1	.20	+	4.96	1.95E-01	1.00E00
plasma lipoprotein particle (GO:0034358)	12	1	.20	+	4.96	1.95E-01	1.00E00
integral component of postsynaptic membrane (GO:0099055)	24	2	.40	+	4.96	6.80E-02	1.00E00
clathrin-coated endocytic vesicle (GO:0045334)	25	2	.42	+	4.76	7.27E-02	1.00E00
sperm flagellum (GO:0036126)	39	3	.66	+	4.58	3.17E-02	1.00E00
neuromuscular junction (GO:0031594)	26	2	.44	+	4.58	7.75E-02	1.00E00
dendrite membrane (GO:0032590)	13	1	.22	+	4.58	2.08E-01	1.00E00
mitochondrial nucleoid (GO:0042645)	26	2	.44	+	4.58	7.75E-02	1.00E00
chaperone complex (GO:0101031)	13	1	.22	+	4.58	2.08E-01	1.00E00
nucleoid (GO:0009295)	26	2	.44	+	4.58	7.75E-02	1.00E00
proteasome accessory complex (GO:0022624)	13	1	.22	+	4.58	2.08E-01	1.00E00
mitochondrial outer membrane translocase complex (GO:0005742)	13	1	.22	+	4.58	2.08E-01	1.00E00
collagen trimer (GO:0005581)	27	2	.45	+	4.41	8.23E-02	1.00E00
intrinsic component of postsynaptic membrane (GO:0098936)	27	2	.45	+	4.41	8.23E-02	1.00E00
mitochondrial outer membrane (GO:0005741)	110	8	1.85	+	4.33	7.07E-04	1.52E-01
protein-lipid complex (GO:0032994)	14	1	.24	+	4.25	2.21E-01	1.00E00
outer mitochondrial membrane protein complex (GO:0098799)	14	1	.24	+	4.25	2.21E-01	1.00E00
GABA-ergic synapse (GO:0098982)	14	1	.24	+	4.25	2.21E-01	1.00E00
presynaptic active zone (GO:0048786)	28	2	.47	+	4.25	8.73E-02	1.00E00
presynaptic membrane (GO:0042734)	43	3	.72	+	4.15	3.99E-02	1.00E00
collagen-containing extracellular matrix (GO:0062023)	145	10	2.44	+	4.10	2.28E-04	6.51E-02
microbody lumen (GO:0031907)	29	2	.49	+	4.10	9.23E-02	1.00E00
peroxisomal matrix (GO:0005782)	29	2	.49	+	4.10	9.23E-02	1.00E00
external encapsulating structure (GO:0030312)	175	12	2.94	+	4.08	5.55E-05	4.76E-02
extracellular matrix (GO:0031012)	175	12	2.94	+	4.08	5.55E-05	3.17E-02
9+2 motile cilium (GO:0097729)	44	3	.74	+	4.06	4.22E-02	1.00E00
dendritic shaft (GO:0043198)	15	1	.25	+	3.97	2.34E-01	1.00E00
