ACLY,ACSS2,DLAT,DLD 	acetyl-CoA biosynthetic process
ACLY,ACSS2,DLAT,DLD,ACACA 	acetyl-CoA metabolic process
ACLY,ACSS2,GPAM,ACSL1,DLAT,DLD,ACACA 	acyl-CoA metabolic process
PFKFB1,ALDH1L1,KDM3A,ACSS2,GPT,HSD17B6,ACCS,ACACA,AACS,EBP,AKT2,DGLUCY,DLAT,ACAD10,HIBCH,ADSL,MME,ACSL1,COQ9,FAH,SDHA,HADHB,ALDH4A1,GNPAT,HADHA,ACLY,GRHPR,LMBRD1,COQ2,GPAM,GLB1,RFT1,PPARG,ACO1,L2HGDH,DLD 	small molecule metabolic process
ACLY,ACSS2,GPAM,ACSL1,DLAT,DLD,ACACA 	thioester metabolic process
ACLY,ACSS2,ACSL1,DLAT,DLD,ACACA 	acyl-CoA biosynthetic process
ACLY,ACSS2,ACSL1,DLAT,DLD,ACACA 	thioester biosynthetic process
ACLY,ACSS2,ACSL1,DLAT,DLD,ACACA 	ribonucleoside bisphosphate biosynthetic process
ACLY,ACSS2,ACSL1,DLAT,DLD,ACACA 	nucleoside bisphosphate biosynthetic process
ACLY,ACSS2,ACSL1,DLAT,DLD,ACACA 	purine nucleoside bisphosphate biosynthetic process
ALDH4A1,ACLY,GRHPR,ALDH1L1,DGLUCY,L2HGDH,SDHA 	dicarboxylic acid metabolic process
PFKFB1,ALDH1L1,ACSS2,GPT,ACCS,ACACA,AACS,DGLUCY,DLAT,ACAD10,HIBCH,ACSL1,FAH,SDHA,HADHB,ALDH4A1,GNPAT,HADHA,ACLY,GRHPR,GPAM,PPARG,ACO1,L2HGDH,DLD 	carboxylic acid metabolic process
PFKFB1,ALDH1L1,ACSS2,GPT,ACCS,ACACA,AACS,DGLUCY,DLAT,ACAD10,HIBCH,ACSL1,FAH,SDHA,HADHB,ALDH4A1,GNPAT,HADHA,ACLY,GRHPR,GPAM,PPARG,ACO1,L2HGDH,DLD 	oxoacid metabolic process
PFKFB1,ALDH1L1,ACSS2,GPT,ACCS,ACACA,AACS,DGLUCY,DLAT,ACAD10,HIBCH,ACSL1,FAH,SDHA,HADHB,ALDH4A1,GNPAT,HADHA,ACLY,GRHPR,GPAM,PPARG,ACO1,L2HGDH,DLD 	organic acid metabolic process
ADSL,ACO1,NDUFS1,COQ9,DLAT,SDHA,DLD 	aerobic respiration
PFKFB1,ALDH1L1,ADSL,ACSS2,HSD17B6,COQ9,SDHA,AACS,ALDH4A1,AKT2,ACO1,NDUFS1,DLAT,DLD 	generation of precursor metabolites and energy
HADHB,ALDH4A1,HADHA,ALDH1L1,GPT,FAH,ACAD10,DLD,HIBCH 	carboxylic acid catabolic process
HADHB,ALDH4A1,HADHA,ALDH1L1,GPT,FAH,ACAD10,DLD,HIBCH 	organic acid catabolic process
HADHB,ALDH4A1,HADHA,ALDH1L1,GLB1,GPT,HSD17B6,FAH,ACAD10,DLD,HIBCH 	small molecule catabolic process
PFKFB1,ACSS2,ACSL1,FAH,ACACA,AACS,HADHB,GNPAT,HADHA,ACLY,GRHPR,GPAM,PPARG,DLAT,ACAD10,DLD 	monocarboxylic acid metabolic process
ACSS2,GGPS1,ACSL1,CIDEA,GPT,HSD17B6,FAH,ACACA,AACS,HADHB,GNPAT,HADHA,ACLY,EBP,COQ2,GPAM,GLB1,RFT1,PSAP,ENPP2,PPARG,ACAD10 	lipid metabolic process
COL15A1,COL3A1,MME,LAMB3,LAMB2,LAMA4,SEMA3B,PSAP,SERPINH1,LRRC32,THBS3	extracellular matrix
COL15A1,COL3A1,MME,LAMB3,LAMB2,LAMA4,SEMA3B,PSAP,SERPINH1,LRRC32,THBS3	external encapsulating structure
MTCH2,ACSL1,COQ9,SDHA,MYO19,HADHB,GNPAT,HADHA,BCL2L13,APOO,COQ2,GPAM,PSAP,NDUFS1,L2HGDH,DNM1L,DLD	mitochondrial membrane
MTCH2,ACSL1,CIDEA,COQ9,SDHA,MYO19,HADHB,GNPAT,HADHA,BCL2L13,APOO,COQ2,GPAM,PSAP,NDUFS1,L2HGDH,DNM1L,DLD	mitochondrial envelope
MTCH2,ACSS2,IBA57,SLC8A1,BCL2L13,APOO,DGLUCY,PSAP,DLAT,DNM1L,ACAD10,HIBCH,ACSL1,MTUS1,CIDEA,COQ9,SDHA,MYO19,HADHB,ALDH4A1,GNPAT,HADHA,COQ2,PDP2,GPAM,LGALS12,ACO1,NDUFS1,L2HGDH,DLD	mitochondrion
