




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	7_Liver_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	7_Liver_Active_SpecificSwitches.txt (73)	7_Liver_Active_SpecificSwitches.txt (expected)	7_Liver_Active_SpecificSwitches.txt (over/under)	7_Liver_Active_SpecificSwitches.txt (fold Enrichment)	7_Liver_Active_SpecificSwitches.txt (raw P-value)	7_Liver_Active_SpecificSwitches.txt (FDR)
extrinsic component of synaptic vesicle membrane (GO:0098850)	1	1	.01	+	85.37	2.30E-02	1.00E00
varicosity (GO:0043196)	1	1	.01	+	85.37	2.30E-02	1.00E00
outer dense fiber (GO:0001520)	1	1	.01	+	85.37	2.30E-02	1.00E00
lipid tube (GO:0060987)	1	1	.01	+	85.37	2.30E-02	1.00E00
cellularization cleavage furrow (GO:0110070)	1	1	.01	+	85.37	2.30E-02	1.00E00
phosphopyruvate hydratase complex (GO:0000015)	1	1	.01	+	85.37	2.30E-02	1.00E00
MAML1-RBP-Jkappa- ICN1 complex (GO:0002193)	1	1	.01	+	85.37	2.30E-02	1.00E00
BIM-BCL-2 complex (GO:0097141)	1	1	.01	+	85.37	2.30E-02	1.00E00
BIM-BCL-xl complex (GO:0097140)	1	1	.01	+	85.37	2.30E-02	1.00E00
cerebellar mossy fiber (GO:0044300)	2	1	.02	+	42.68	3.43E-02	1.00E00
BORC complex (GO:0099078)	2	1	.02	+	42.68	3.43E-02	1.00E00
Bcl-2 family protein complex (GO:0097136)	2	1	.02	+	42.68	3.43E-02	1.00E00
BRCA1-B complex (GO:0070532)	3	1	.04	+	28.46	4.55E-02	1.00E00
GATOR2 complex (GO:0061700)	3	1	.04	+	28.46	4.55E-02	1.00E00
collagen type IV trimer (GO:0005587)	3	1	.04	+	28.46	4.55E-02	1.00E00
basement membrane collagen trimer (GO:0098651)	3	1	.04	+	28.46	4.55E-02	1.00E00
collagen network (GO:0098645)	3	1	.04	+	28.46	4.55E-02	1.00E00
network-forming collagen trimer (GO:0098642)	3	1	.04	+	28.46	4.55E-02	1.00E00
cytoplasmic side of lysosomal membrane (GO:0098574)	3	1	.04	+	28.46	4.55E-02	1.00E00
macropinosome (GO:0044354)	4	1	.05	+	21.34	5.66E-02	1.00E00
pinosome (GO:0044352)	4	1	.05	+	21.34	5.66E-02	1.00E00
pericentriolar material (GO:0000242)	8	2	.09	+	21.34	5.60E-03	1.00E00
tRNA methyltransferase complex (GO:0043527)	4	1	.05	+	21.34	5.66E-02	1.00E00
