




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
positive regulation of IP-10 production (GO:0071660)	1	1	.01	+	 > 100	1.71E-02	1.00E00
follicular dendritic cell differentiation (GO:0002268)	1	1	.01	+	 > 100	1.71E-02	1.00E00
ethanolamine metabolic process (GO:0006580)	1	1	.01	+	 > 100	1.71E-02	1.00E00
response to vitamin B2 (GO:0033274)	1	1	.01	+	 > 100	1.71E-02	1.00E00
DNA demethylation of male pronucleus (GO:0044727)	1	1	.01	+	 > 100	1.71E-02	1.00E00
chromatin reprogramming in the zygote (GO:0044725)	1	1	.01	+	 > 100	1.71E-02	1.00E00
negative regulation by symbiont of host autophagy (GO:0140321)	1	1	.01	+	 > 100	1.71E-02	1.00E00
cellular response to external biotic stimulus (GO:0071217)	1	1	.01	+	 > 100	1.71E-02	1.00E00
neurotransmitter receptor transport postsynaptic membrane to endosome (GO:0098968)	1	1	.01	+	 > 100	1.71E-02	1.00E00
astrocyte cell migration (GO:0043615)	1	1	.01	+	 > 100	1.71E-02	1.00E00
regulation of postsynaptic neurotransmitter receptor internalization (GO:0099149)	1	1	.01	+	 > 100	1.71E-02	1.00E00
modulation by symbiont of host autophagy (GO:0075071)	1	1	.01	+	 > 100	1.71E-02	1.00E00
endoplasmic reticulum membrane fusion (GO:0016320)	1	1	.01	+	 > 100	1.71E-02	1.00E00
IDP catabolic process (GO:0046709)	1	1	.01	+	 > 100	1.71E-02	1.00E00
IDP metabolic process (GO:0046707)	1	1	.01	+	 > 100	1.71E-02	1.00E00
suppression by virus of host autophagy (GO:0039521)	1	1	.01	+	 > 100	1.71E-02	1.00E00
modulation by virus of host autophagy (GO:0039519)	1	1	.01	+	 > 100	1.71E-02	1.00E00
DNA synthesis involved in UV-damage excision repair (GO:1904161)	1	1	.01	+	 > 100	1.71E-02	1.00E00
cytosine metabolic process (GO:0019858)	1	1	.01	+	 > 100	1.71E-02	1.00E00
negative regulation of constitutive secretory pathway (GO:1903434)	1	1	.01	+	 > 100	1.71E-02	1.00E00
negative regulation of smoothened signaling pathway involved in ventral spinal cord patterning (GO:0021914)	1	1	.01	+	 > 100	1.71E-02	1.00E00
bronchus morphogenesis (GO:0060434)	2	1	.02	+	57.70	2.56E-02	1.00E00
cytidine metabolic process (GO:0046087)	2	1	.02	+	57.70	2.56E-02	1.00E00
ADP catabolic process (GO:0046032)	2	1	.02	+	57.70	2.56E-02	1.00E00
negative regulation of membrane hyperpolarization (GO:1902631)	2	1	.02	+	57.70	2.56E-02	1.00E00
macrophage apoptotic process (GO:0071888)	2	1	.02	+	57.70	2.56E-02	1.00E00
regulation of IP-10 production (GO:0071658)	2	1	.02	+	57.70	2.56E-02	1.00E00
positive regulation of chemokine (C-C motif) ligand 5 production (GO:0071651)	2	1	.02	+	57.70	2.56E-02	1.00E00
follicular dendritic cell activation (GO:0002266)	2	1	.02	+	57.70	2.56E-02	1.00E00
modulation by virus of host cellular process (GO:0019054)	2	1	.02	+	57.70	2.56E-02	1.00E00
modulation by virus of host process (GO:0019048)	2	1	.02	+	57.70	2.56E-02	1.00E00
myeloid cell apoptotic process (GO:0033028)	2	1	.02	+	57.70	2.56E-02	1.00E00
cytidine catabolic process (GO:0006216)	2	1	.02	+	57.70	2.56E-02	1.00E00
5-methylcytosine catabolic process (GO:0006211)	2	1	.02	+	57.70	2.56E-02	1.00E00
regulation of retrograde vesicle-mediated transport, Golgi to ER (GO:2000156)	2	1	.02	+	57.70	2.56E-02	1.00E00
modulation by symbiont of host programmed cell death (GO:0052040)	2	1	.02	+	57.70	2.56E-02	1.00E00
response to folic acid (GO:0051593)	2	1	.02	+	57.70	2.56E-02	1.00E00
cytidine deamination (GO:0009972)	2	1	.02	+	57.70	2.56E-02	1.00E00
modulation by symbiont of host cellular process (GO:0044068)	2	1	.02	+	57.70	2.56E-02	1.00E00
modulation by symbiont of host process (GO:0044003)	2	1	.02	+	57.70	2.56E-02	1.00E00
regulation of endosome size (GO:0051036)	2	1	.02	+	57.70	2.56E-02	1.00E00
mitochondrial translational initiation (GO:0070124)	2	1	.02	+	57.70	2.56E-02	1.00E00
synaptic vesicle targeting (GO:0016080)	2	1	.02	+	57.70	2.56E-02	1.00E00
MDA-5 signaling pathway (GO:0039530)	2	1	.02	+	57.70	2.56E-02	1.00E00
5-methylcytosine metabolic process (GO:0019857)	2	1	.02	+	57.70	2.56E-02	1.00E00
positive regulation of Rac protein signal transduction (GO:0035022)	2	1	.02	+	57.70	2.56E-02	1.00E00
regulation of autophagic cell death (GO:1904092)	2	1	.02	+	57.70	2.56E-02	1.00E00
regulation of constitutive secretory pathway (GO:1903433)	2	1	.02	+	57.70	2.56E-02	1.00E00
protein localization to early endosome (GO:1902946)	2	1	.02	+	57.70	2.56E-02	1.00E00
cochlear nucleus development (GO:0021747)	3	1	.03	+	38.47	3.39E-02	1.00E00
pyrimidine nucleoside catabolic process (GO:0046135)	3	1	.03	+	38.47	3.39E-02	1.00E00
pyrimidine ribonucleoside catabolic process (GO:0046133)	3	1	.03	+	38.47	3.39E-02	1.00E00
pyrimidine ribonucleoside metabolic process (GO:0046131)	3	1	.03	+	38.47	3.39E-02	1.00E00
inflammatory cell apoptotic process (GO:0006925)	3	1	.03	+	38.47	3.39E-02	1.00E00
regulation of membrane hyperpolarization (GO:1902630)	3	1	.03	+	38.47	3.39E-02	1.00E00
protein localization to adherens junction (GO:0071896)	3	1	.03	+	38.47	3.39E-02	1.00E00
primitive hemopoiesis (GO:0060215)	3	1	.03	+	38.47	3.39E-02	1.00E00
receptor recycling (GO:0001881)	3	1	.03	+	38.47	3.39E-02	1.00E00
establishment of T cell polarity (GO:0001768)	3	1	.03	+	38.47	3.39E-02	1.00E00
establishment of lymphocyte polarity (GO:0001767)	3	1	.03	+	38.47	3.39E-02	1.00E00
auditory receptor cell stereocilium organization (GO:0060088)	3	1	.03	+	38.47	3.39E-02	1.00E00
late nucleophagy (GO:0044805)	3	1	.03	+	38.47	3.39E-02	1.00E00
cellular response to hyperoxia (GO:0071455)	3	1	.03	+	38.47	3.39E-02	1.00E00
neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639)	3	1	.03	+	38.47	3.39E-02	1.00E00
nucleotide-excision repair, DNA gap filling (GO:0006297)	3	1	.03	+	38.47	3.39E-02	1.00E00
embryonic neurocranium morphogenesis (GO:0048702)	3	1	.03	+	38.47	3.39E-02	1.00E00
neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887)	3	1	.03	+	38.47	3.39E-02	1.00E00
positive regulation of vascular associated smooth muscle cell apoptotic process (GO:1905461)	3	1	.03	+	38.47	3.39E-02	1.00E00
N-acylethanolamine metabolic process (GO:0070291)	3	1	.03	+	38.47	3.39E-02	1.00E00
post-anal tail morphogenesis (GO:0036342)	3	1	.03	+	38.47	3.39E-02	1.00E00
purine ribonucleoside diphosphate catabolic process (GO:0009181)	3	1	.03	+	38.47	3.39E-02	1.00E00
purine nucleoside diphosphate catabolic process (GO:0009137)	3	1	.03	+	38.47	3.39E-02	1.00E00
ethanolamine-containing compound metabolic process (GO:0042439)	3	1	.03	+	38.47	3.39E-02	1.00E00
smoothened signaling pathway involved in dorsal/ventral neural tube patterning (GO:0060831)	3	1	.03	+	38.47	3.39E-02	1.00E00
short-chain fatty acid catabolic process (GO:0019626)	3	1	.03	+	38.47	3.39E-02	1.00E00
bronchus development (GO:0060433)	4	1	.03	+	28.85	4.22E-02	1.00E00
germinal center formation (GO:0002467)	4	1	.03	+	28.85	4.22E-02	1.00E00
pons development (GO:0021548)	4	1	.03	+	28.85	4.22E-02	1.00E00
spinal cord dorsal/ventral patterning (GO:0021513)	4	1	.03	+	28.85	4.22E-02	1.00E00
