




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
negative regulation of lamellipodium organization (GO:1902744)	1	1	.01	+	 > 100	1.58E-02	1.00E00
fatty alcohol metabolic process (GO:1903173)	1	1	.01	+	 > 100	1.58E-02	1.00E00
immune response in nasopharyngeal-associated lymphoid tissue (GO:0002395)	1	1	.01	+	 > 100	1.58E-02	1.00E00
immune response in gut-associated lymphoid tissue (GO:0002387)	1	1	.01	+	 > 100	1.58E-02	1.00E00
sesquiterpenoid metabolic process (GO:0006714)	1	1	.01	+	 > 100	1.58E-02	1.00E00
viral RNA genome packaging (GO:0019074)	1	1	.01	+	 > 100	1.58E-02	1.00E00
viral genome packaging (GO:0019072)	1	1	.01	+	 > 100	1.58E-02	1.00E00
phytol metabolic process (GO:0033306)	1	1	.01	+	 > 100	1.58E-02	1.00E00
negative regulation of lamellipodium morphogenesis (GO:2000393)	1	1	.01	+	 > 100	1.58E-02	1.00E00
depurination (GO:0045007)	1	1	.01	+	 > 100	1.58E-02	1.00E00
septin cytoskeleton organization (GO:0032185)	1	1	.01	+	 > 100	1.58E-02	1.00E00
mucociliary clearance (GO:0120197)	1	1	.01	+	 > 100	1.58E-02	1.00E00
endosome membrane tubulation (GO:0097750)	1	1	.01	+	 > 100	1.58E-02	1.00E00
positive regulation of pyruvate dehydrogenase activity (GO:1904184)	1	1	.01	+	 > 100	1.58E-02	1.00E00
regulation of pyruvate dehydrogenase activity (GO:1904182)	1	1	.01	+	 > 100	1.58E-02	1.00E00
hexadecanal metabolic process (GO:0046458)	1	1	.01	+	 > 100	1.58E-02	1.00E00
positive regulation of cell-cell adhesion mediated by integrin (GO:0033634)	2	1	.02	+	62.68	2.36E-02	1.00E00
positive regulation of mammary gland epithelial cell proliferation (GO:0033601)	2	1	.02	+	62.68	2.36E-02	1.00E00
negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000805)	2	1	.02	+	62.68	2.36E-02	1.00E00
regulation of mammary gland epithelial cell proliferation (GO:0033599)	2	1	.02	+	62.68	2.36E-02	1.00E00
dense core granule transport (GO:1901950)	2	1	.02	+	62.68	2.36E-02	1.00E00
DNA dealkylation involved in DNA repair (GO:0006307)	2	1	.02	+	62.68	2.36E-02	1.00E00
endosome fission (GO:0140285)	2	1	.02	+	62.68	2.36E-02	1.00E00
regulation of microvillus assembly (GO:0032534)	2	1	.02	+	62.68	2.36E-02	1.00E00
dense core granule cytoskeletal transport (GO:0099519)	2	1	.02	+	62.68	2.36E-02	1.00E00
dense core granule localization (GO:0032253)	2	1	.02	+	62.68	2.36E-02	1.00E00
regulation of blastocyst development (GO:0120222)	2	1	.02	+	62.68	2.36E-02	1.00E00
negative regulation of termination of RNA polymerase II transcription (GO:0120191)	2	1	.02	+	62.68	2.36E-02	1.00E00
positive regulation of 1-phosphatidylinositol-3-kinase activity (GO:0061903)	2	1	.02	+	62.68	2.36E-02	1.00E00
regulation of 1-phosphatidylinositol-3-kinase activity (GO:0061901)	2	1	.02	+	62.68	2.36E-02	1.00E00
DNA dealkylation (GO:0035510)	2	1	.02	+	62.68	2.36E-02	1.00E00
SNARE complex assembly (GO:0035493)	2	1	.02	+	62.68	2.36E-02	1.00E00
negative regulation of ruffle assembly (GO:1900028)	2	1	.02	+	62.68	2.36E-02	1.00E00
synaptic vesicle to endosome fusion (GO:0016189)	2	1	.02	+	62.68	2.36E-02	1.00E00
actin filament fragmentation (GO:0030043)	2	1	.02	+	62.68	2.36E-02	1.00E00
negative regulation of DNA-templated transcription, termination (GO:0060567)	2	1	.02	+	62.68	2.36E-02	1.00E00
regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000804)	3	1	.02	+	41.79	3.13E-02	1.00E00
sperm axoneme assembly (GO:0007288)	3	1	.02	+	41.79	3.13E-02	1.00E00
negative regulation of receptor internalization (GO:0002091)	3	1	.02	+	41.79	3.13E-02	1.00E00
glomerular visceral epithelial cell migration (GO:0090521)	3	1	.02	+	41.79	3.13E-02	1.00E00
base-excision repair, AP site formation (GO:0006285)	3	1	.02	+	41.79	3.13E-02	1.00E00
regulation of centromeric sister chromatid cohesion (GO:0070602)	3	1	.02	+	41.79	3.13E-02	1.00E00
protein polyglutamylation (GO:0018095)	3	1	.02	+	41.79	3.13E-02	1.00E00
secretory granule localization (GO:0032252)	3	1	.02	+	41.79	3.13E-02	1.00E00
regulation of DNA-templated transcription, termination (GO:0031554)	3	1	.02	+	41.79	3.13E-02	1.00E00
positive regulation of actin filament depolymerization (GO:0030836)	3	1	.02	+	41.79	3.13E-02	1.00E00
regulation of termination of RNA polymerase II transcription (GO:1904594)	3	1	.02	+	41.79	3.13E-02	1.00E00
membrane tubulation (GO:0097749)	3	1	.02	+	41.79	3.13E-02	1.00E00
epithelial cilium movement involved in extracellular fluid movement (GO:0003351)	3	1	.02	+	41.79	3.13E-02	1.00E00
positive regulation of cell adhesion mediated by integrin (GO:0033630)	4	1	.03	+	31.34	3.90E-02	1.00E00
extracellular transport (GO:0006858)	4	1	.03	+	31.34	3.90E-02	1.00E00
positive regulation of protein depolymerization (GO:1901881)	4	1	.03	+	31.34	3.90E-02	1.00E00
regulation of microvillus organization (GO:0032530)	4	1	.03	+	31.34	3.90E-02	1.00E00
sperm flagellum assembly (GO:0120316)	4	1	.03	+	31.34	3.90E-02	1.00E00
negative regulation of IRE1-mediated unfolded protein response (GO:1903895)	4	1	.03	+	31.34	3.90E-02	1.00E00
maintenance of DNA methylation (GO:0010216)	5	1	.04	+	25.07	4.66E-02	1.00E00
regulation of cell-cell adhesion mediated by integrin (GO:0033632)	5	1	.04	+	25.07	4.66E-02	1.00E00
glomerular epithelial cell differentiation (GO:0072311)	5	1	.04	+	25.07	4.66E-02	1.00E00
glomerular epithelial cell development (GO:0072310)	5	1	.04	+	25.07	4.66E-02	1.00E00
negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	5	1	.04	+	25.07	4.66E-02	1.00E00
glomerular visceral epithelial cell differentiation (GO:0072112)	5	1	.04	+	25.07	4.66E-02	1.00E00
glomerular visceral epithelial cell development (GO:0072015)	5	1	.04	+	25.07	4.66E-02	1.00E00
positive regulation by host of viral process (GO:0044794)	5	1	.04	+	25.07	4.66E-02	1.00E00
regulation of lamellipodium morphogenesis (GO:2000392)	5	1	.04	+	25.07	4.66E-02	1.00E00
peptidyl-glutamic acid modification (GO:0018200)	5	1	.04	+	25.07	4.66E-02	1.00E00
synaptic vesicle endosomal processing (GO:0099532)	5	1	.04	+	25.07	4.66E-02	1.00E00
membrane fission (GO:0090148)	5	1	.04	+	25.07	4.66E-02	1.00E00
negative regulation of signal transduction in absence of ligand (GO:1901099)	5	1	.04	+	25.07	4.66E-02	1.00E00
negative regulation of substrate adhesion-dependent cell spreading (GO:1900025)	5	1	.04	+	25.07	4.66E-02	1.00E00
negative regulation of cell morphogenesis involved in differentiation (GO:0010771)	5	1	.04	+	25.07	4.66E-02	1.00E00
