




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
slit diaphragm (GO:0036057)	3	1	.02	+	41.79	3.13E-02	1.00E00
filtration diaphragm (GO:0036056)	3	1	.02	+	41.79	3.13E-02	1.00E00
endoplasmic reticulum-endosome membrane contact site (GO:0140284)	3	1	.02	+	41.79	3.13E-02	1.00E00
synaptic cleft (GO:0043083)	4	1	.03	+	31.34	3.90E-02	1.00E00
BRCA1-A complex (GO:0070531)	6	1	.05	+	20.89	5.41E-02	1.00E00
microvillus membrane (GO:0031528)	9	1	.07	+	13.93	7.65E-02	1.00E00
voltage-gated calcium channel complex (GO:0005891)	9	1	.07	+	13.93	7.65E-02	1.00E00
Flemming body (GO:0090543)	13	1	.10	+	9.64	1.05E-01	1.00E00
clathrin-coated endocytic vesicle membrane (GO:0030669)	14	1	.11	+	8.95	1.13E-01	1.00E00
mitochondrial nucleoid (GO:0042645)	16	1	.13	+	7.84	1.27E-01	1.00E00
calcium channel complex (GO:0034704)	16	1	.13	+	7.84	1.27E-01	1.00E00
nucleoid (GO:0009295)	16	1	.13	+	7.84	1.27E-01	1.00E00
SNARE complex (GO:0031201)	18	1	.14	+	6.96	1.40E-01	1.00E00
clathrin-coated endocytic vesicle (GO:0045334)	19	1	.15	+	6.60	1.47E-01	1.00E00
organelle membrane contact site (GO:0044232)	19	1	.15	+	6.60	1.47E-01	1.00E00
polysome (GO:0005844)	22	1	.18	+	5.70	1.67E-01	1.00E00
rough endoplasmic reticulum (GO:0005791)	24	1	.19	+	5.22	1.81E-01	1.00E00
clathrin-coated vesicle membrane (GO:0030665)	25	1	.20	+	5.01	1.87E-01	1.00E00
