




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	15_Muscle_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	15_Muscle_DeAndDiuGenes.txt (6)	15_Muscle_DeAndDiuGenes.txt (expected)	15_Muscle_DeAndDiuGenes.txt (over/under)	15_Muscle_DeAndDiuGenes.txt (fold Enrichment)	15_Muscle_DeAndDiuGenes.txt (raw P-value)	15_Muscle_DeAndDiuGenes.txt (FDR)
mitochondrial ATP-gated potassium channel activity (GO:0062156)	1	1	.00	+	 > 100	2.65E-03	1.00E00
ErbB-3 class receptor binding (GO:0043125)	2	1	.00	+	 > 100	3.98E-03	1.00E00
RNA polymerase I core binding (GO:0001042)	3	1	.00	+	 > 100	5.30E-03	1.00E00
ATP-gated ion channel activity (GO:0035381)	3	1	.00	+	 > 100	5.30E-03	1.00E00
ATPase activator activity (GO:0001671)	9	1	.01	+	83.57	1.32E-02	1.00E00
molecular function activator activity (GO:0140677)	10	1	.01	+	75.22	1.45E-02	1.00E00
ligand-gated cation channel activity (GO:0099094)	11	1	.01	+	68.38	1.58E-02	1.00E00
potassium channel activity (GO:0005267)	11	1	.01	+	68.38	1.58E-02	1.00E00
ligand-gated channel activity (GO:0022834)	12	1	.02	+	62.68	1.71E-02	1.00E00
ligand-gated ion channel activity (GO:0015276)	12	1	.02	+	62.68	1.71E-02	1.00E00
potassium ion transmembrane transporter activity (GO:0015079)	14	1	.02	+	53.73	1.98E-02	1.00E00
RNA polymerase core enzyme binding (GO:0043175)	21	1	.03	+	35.82	2.89E-02	1.00E00
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	23	1	.03	+	32.70	3.15E-02	1.00E00
RNA polymerase binding (GO:0070063)	31	1	.04	+	24.26	4.18E-02	1.00E00
transmembrane receptor protein kinase activity (GO:0019199)	34	1	.05	+	22.12	4.56E-02	1.00E00
cation channel activity (GO:0005261)	37	1	.05	+	20.33	4.94E-02	1.00E00
gated channel activity (GO:0022836)	44	1	.06	+	17.09	5.83E-02	1.00E00
growth factor binding (GO:0019838)	50	1	.07	+	15.04	6.59E-02	1.00E00
ion channel activity (GO:0005216)	52	1	.07	+	14.46	6.84E-02	1.00E00
protein tyrosine kinase activity (GO:0004713)	53	1	.07	+	14.19	6.96E-02	1.00E00
passive transmembrane transporter activity (GO:0022803)	55	1	.07	+	13.68	7.21E-02	1.00E00
channel activity (GO:0015267)	55	1	.07	+	13.68	7.21E-02	1.00E00
protein phosphatase binding (GO:0019903)	62	1	.08	+	12.13	8.08E-02	1.00E00
metal ion transmembrane transporter activity (GO:0046873)	67	1	.09	+	11.23	8.70E-02	1.00E00
protein C-terminus binding (GO:0008022)	77	1	.10	+	9.77	9.92E-02	1.00E00
phosphatase binding (GO:0019902)	82	1	.11	+	9.17	1.05E-01	1.00E00
protein heterodimerization activity (GO:0046982)	89	1	.12	+	8.45	1.14E-01	1.00E00
inorganic cation transmembrane transporter activity (GO:0022890)	91	1	.12	+	8.27	1.16E-01	1.00E00
cation transmembrane transporter activity (GO:0008324)	108	1	.14	+	6.96	1.36E-01	1.00E00
transmembrane signaling receptor activity (GO:0004888)	109	1	.14	+	6.90	1.38E-01	1.00E00
inorganic molecular entity transmembrane transporter activity (GO:0015318)	114	1	.15	+	6.60	1.43E-01	1.00E00
ion transmembrane transporter activity (GO:0015075)	147	1	.20	+	5.12	1.81E-01	1.00E00
signaling receptor activity (GO:0038023)	157	1	.21	+	4.79	1.92E-01	1.00E00
molecular transducer activity (GO:0060089)	157	1	.21	+	4.79	1.92E-01	1.00E00
protein serine/threonine/tyrosine kinase activity (GO:0004712)	160	1	.21	+	4.70	1.96E-01	1.00E00
transmembrane transporter activity (GO:0022857)	197	1	.26	+	3.82	2.36E-01	1.00E00
protein kinase activity (GO:0004672)	207	1	.28	+	3.63	2.46E-01	1.00E00
transporter activity (GO:0005215)	236	1	.31	+	3.19	2.76E-01	1.00E00
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	249	1	.33	+	3.02	2.89E-01	1.00E00
kinase activity (GO:0016301)	273	1	.36	+	2.76	3.13E-01	1.00E00
protein dimerization activity (GO:0046983)	289	1	.38	+	2.60	3.28E-01	1.00E00
signaling receptor binding (GO:0005102)	303	1	.40	+	2.48	3.42E-01	1.00E00
transferase activity, transferring phosphorus-containing groups (GO:0016772)	326	1	.43	+	2.31	3.63E-01	1.00E00
sequence-specific DNA binding (GO:0043565)	404	1	.54	+	1.86	4.31E-01	1.00E00
molecular function regulator (GO:0098772)	490	1	.65	+	1.54	4.99E-01	1.00E00
ATP binding (GO:0005524)	517	1	.69	+	1.45	5.19E-01	1.00E00
adenyl ribonucleotide binding (GO:0032559)	539	1	.72	+	1.40	5.34E-01	1.00E00
adenyl nucleotide binding (GO:0030554)	545	1	.72	+	1.38	5.38E-01	1.00E00
identical protein binding (GO:0042802)	598	1	.80	+	1.26	5.74E-01	1.00E00
purine ribonucleoside triphosphate binding (GO:0035639)	612	1	.81	+	1.23	5.83E-01	1.00E00
purine ribonucleotide binding (GO:0032555)	635	1	.84	+	1.18	5.98E-01	1.00E00
ribonucleotide binding (GO:0032553)	640	1	.85	+	1.18	6.01E-01	1.00E00
purine nucleotide binding (GO:0017076)	642	1	.85	+	1.17	6.02E-01	1.00E00
RNA binding (GO:0003723)	654	1	.87	+	1.15	1.00E00	1.00E00
DNA binding (GO:0003677)	668	1	.89	+	1.13	1.00E00	1.00E00
hydrolase activity (GO:0016787)	669	1	.89	+	1.12	1.00E00	1.00E00
carbohydrate derivative binding (GO:0097367)	716	1	.95	+	1.05	1.00E00	1.00E00
molecular_function (GO:0003674)	4376	6	5.82	+	1.03	1.00E00	1.00E00
nucleotide binding (GO:0000166)	731	1	.97	+	1.03	1.00E00	1.00E00
nucleoside phosphate binding (GO:1901265)	731	1	.97	+	1.03	1.00E00	1.00E00
enzyme binding (GO:0019899)	732	1	.97	+	1.03	1.00E00	1.00E00
catalytic activity, acting on a protein (GO:0140096)	746	1	.99	+	1.01	1.00E00	1.00E00
anion binding (GO:0043168)	758	1	1.01	-	.99	1.00E00	1.00E00
protein binding (GO:0005515)	3833	5	5.10	-	.98	1.00E00	1.00E00
transferase activity (GO:0016740)	778	1	1.03	-	.97	1.00E00	1.00E00
small molecule binding (GO:0036094)	801	1	1.06	-	.94	1.00E00	1.00E00
catalytic activity (GO:0003824)	1646	2	2.19	-	.91	1.00E00	1.00E00
binding (GO:0005488)	4163	5	5.53	-	.90	3.85E-01	1.00E00
heterocyclic compound binding (GO:1901363)	1805	2	2.40	-	.83	1.00E00	1.00E00
organic cyclic compound binding (GO:0097159)	1826	2	2.43	-	.82	1.00E00	1.00E00
