#Gene	Name/Description	Isoforms	1 T1 MeanExpLevel	1 T2 MeanExpLevel	1 T3 MeanExpLevel
A1BG	A1BG	1	10.09	12.81	17.15
A4GALT	A4GALT	14	419.26	712.18	394.74
AAAS	AAAS	2	80.55	50.54	60.76
AACS	AACS	5	5813.74	1741.65	596.18
AADAC	AADAC	1	3.54	4.37	14.74
AADACL2	AADACL2	4	1551.5	1495.67	1541.89
AAGAB	AAGAB	7	706.42	741.8	655.6
AAK1	AAK1	10	590.04	537.46	514.38
AAMDC	AAMDC	5	276.59	248.91	189.78
AAMP	AAMP	3	516.24	526.87	489.64
AAR2	AAR2	3	276.96	235.08	191.95
AARS	AARS	10	1102.01	999.97	1096.31
AARS2	AARS2	1	63.08	60.03	42.71
AARSD1	AARSD1	7	461.03	437.82	340.2
AASDH	AASDH	8	730.39	644.25	634.08
AASDHPPT	AASDHPPT	3	289.74	268.28	266.48
AASS	AASS	4	367.18	361.26	314.59
AATF	AATF	4	499.84	593.01	611.48
AATK	AATK	1	23.89	29.53	24.9
ABAT	ABAT	1	158.98	120.03	81.4
ABCA1	ABCA1	5	4432.06	4952.17	3175.09
ABCA12	ABCA12	1	44.88	55.3	47.35
ABCA13	ABCA13	1	13.53	17.31	19.17
ABCA3	ABCA3	3	312.1	241.81	220.82
ABCA4	ABCA4	1	58.24	43.44	58.01
ABCA5	ABCA5	6	489.93	551.38	813.38
ABCA6	ABCA6	5	1767.2	1961.34	1107.14
ABCA7	ABCA7	1	155.32	94.88	47.67
ABCA9	ABCA9	14	5279.13	4654.81	4264.05
ABCB1	ABCB1	5	295.77	326.41	397.64
ABCB10	ABCB10	6	389.79	388.04	298.16
ABCB4	ABCB4	3	29.3	42.31	45.75
ABCB6	ABCB6	9	374.81	285.91	350.8
ABCB7	ABCB7	6	404.4	357.17	299.8
ABCB8	ABCB8	1	64.28	23.94	19.95
ABCC1	ABCC1	3	197.47	190.24	187.73
ABCC10	ABCC10	2	56.99	55.12	53.17
ABCC2	ABCC2	3	1982.07	1829.75	1957.36
ABCC3	ABCC3	3	119.97	158.43	207.39
ABCC4	ABCC4	1	19.27	21.23	36.26
ABCC5	ABCC5	4	414.03	468.33	329.43
ABCC6	ABCC6	4	518.4	246.42	101.2
ABCC9	ABCC9	11	939.46	773.75	717.46
ABCD1	ABCD1	2	142.84	91.28	84.2
