#Gene	Gene Description	DIU Result	Q-Value	Major Isoform Switching	Switching Times	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
A1BG	A1BG	Not DIU	0.072799	NO		6971.75	6050.06	6795.2
AAAS	AAAS	DIU	0.0013838	YES	3	91.38	64.74	71.7
AACS	AACS	Not DIU	0.80314	NO		91.83	55.21	32.5
AADACL2	AADACL2	Not DIU	0.61258	NO		82.74	96.85	109.79
AAGAB	AAGAB	Not DIU	0.31512	NO		165.65	178.44	163.16
AAK1	AAK1	Not DIU	0.91218	NO		317.46	285.01	404.11
AAMP	AAMP	Not DIU	0.19825	NO		448.27	460.49	370.4
AARS	AARS	Not DIU	0.097329	YES	1,3	642.89	674.15	604.74
AARSD1	AARSD1	Not DIU	0.62555	YES	2	160.2	167.86	162.47
AASDH	AASDH	Not DIU	0.33034	NO		720.67	644.32	757.89
AASS	AASS	Not DIU	0.96938	NO		3630.61	3452.82	412.65
AATF	AATF	Not DIU	0.40069	NO		226.75	225.01	212.95
ABCA3	ABCA3	Not DIU	0.11012	NO		71.87	66.89	67.41
ABCA4	ABCA4	Not DIU	0.65533	NO		145.63	148.11	188.65
ABCA5	ABCA5	Not DIU	0.91432	NO		264.85	259.67	284.81
ABCA6	ABCA6	Not DIU	0.85346	NO		2962.25	2788.84	1898.98
ABCB10	ABCB10	Not DIU	0.59402	NO		380.13	441.13	351.21
ABCB4	ABCB4	Not DIU	0.27386	NO		4627.49	5332.62	4822.68
ABCB6	ABCB6	DIU	0.003432	NO		85.31	118.57	87.3
ABCB7	ABCB7	Not DIU	0.44402	NO		316.69	364.34	270.22
ABCC2	ABCC2	DIU	2.6605E-7	NO		7232.79	7256.06	5363.69
ABCC3	ABCC3	Not DIU	0.17146	NO		35.46	42.96	39.67
ABCC4	ABCC4	Not DIU	0.87638	NO		32.85	62.34	26.13
ABCC5	ABCC5	Not DIU	0.24055	NO		143.03	139.93	86.16
ABCC6	ABCC6	Not DIU	0.95178	NO		2947.8	2348.46	1963.7
ABCC9	ABCC9	Not DIU	0.87903	NO		1573.12	1670.09	1141.53
ABCD1	ABCD1	Not DIU	0.6043	YES	1	213.81	167.46	153.08
ABCD3	ABCD3	Not DIU	0.055074	NO		1203.5	1420.0	1599.08
ABCD4	ABCD4	Not DIU	0.7648	NO		159.59	149.37	156.23
ABCE1	ABCE1	Not DIU	0.75374	NO		553.93	708.33	758.5
ABCF1	ABCF1	Not DIU	0.47212	NO		276.1	255.79	291.2
ABCF3	ABCF3	Not DIU	0.99415	NO		419.86	451.92	440.58
ABCG2	ABCG2	DIU	1.5875E-4	YES	3	2354.41	2558.16	1919.42
ABCG5	ABCG5	Not DIU	0.42958	NO		422.22	378.56	294.52
ABCG8	ABCG8	Not DIU	0.082469	NO		511.61	431.47	180.19
ABHD10	ABHD10	Not DIU	0.67331	NO		122.05	108.21	99.14
ABHD14B	ABHD14B	Not DIU	0.58196	NO		759.46	843.51	946.48
ABHD16A	ABHD16A	DIU	0.0017205	NO		458.38	424.12	349.03
ABHD17B	ABHD17B	Not DIU	0.255	YES	3	89.66	115.24	88.99
ABHD18	ABHD18	DIU	0.04526	NO		377.12	356.98	207.34
ABHD2	ABHD2	Not DIU	0.4413	NO		130.57	182.37	2038.41
ABHD4	ABHD4	Not DIU	0.77565	YES	3	173.19	145.81	107.02
ABHD5	ABHD5	Not DIU	0.77077	YES	3	173.52	185.83	209.37
ABI1	ABI1	Not DIU	0.74192	NO		528.96	554.53	580.39
ABL2	ABL2	Not DIU	0.22658	NO		177.13	156.25	207.58
ABLIM1	ABLIM1	Not DIU	0.064886	YES	1	1341.15	1361.73	1318.76
ABLIM3	ABLIM3	Not DIU	0.060758	YES	2	796.14	756.39	686.49
ABR	ABR	Not DIU	0.90555	NO		78.11	101.89	79.17
ABRAXAS1	ABRAXAS1	Not DIU	0.34379	YES	3	123.44	141.98	243.31
