#Gene	Name/Description	Isoforms	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
A1BG	A1BG	7	6971.75	6050.06	6795.2
A1CF	A1CF	3	4340.49	4772.42	3762.9
A2ML1	A2ML1	1	61.93	29.1	17.79
AAAS	AAAS	2	91.38	64.74	71.7
AACS	AACS	2	91.83	55.21	32.5
AADACL2	AADACL2	2	82.74	96.85	109.79
AAGAB	AAGAB	4	165.65	178.44	163.16
AAK1	AAK1	8	317.46	285.01	404.11
AAMDC	AAMDC	2	108.41	124.79	129.27
AAMP	AAMP	2	448.27	460.49	370.4
AAR2	AAR2	1	131.3	129.56	120.46
AARS	AARS	10	642.89	674.15	604.74
AARS2	AARS2	1	61.77	52.34	69.37
AARSD1	AARSD1	2	160.2	167.86	162.47
AASDH	AASDH	7	720.67	644.32	757.89
AASDHPPT	AASDHPPT	4	253.07	268.44	242.87
AASS	AASS	5	3630.61	3452.82	412.65
AATF	AATF	3	226.75	225.01	212.95
AATK	AATK	1	27.11	19.47	18.13
ABAT	ABAT	2	3468.22	3316.44	1742.54
ABCA1	ABCA1	5	5292.8	5701.27	6284.6
ABCA12	ABCA12	1	33.81	40.12	45.9
ABCA3	ABCA3	3	71.87	66.89	67.41
ABCA4	ABCA4	2	145.63	148.11	188.65
ABCA5	ABCA5	5	264.85	259.67	284.81
ABCA6	ABCA6	4	2962.25	2788.84	1898.98
ABCA7	ABCA7	1	33.67	28.28	29.1
ABCA9	ABCA9	4	378.54	310.68	318.65
ABCB1	ABCB1	3	688.9	675.62	454.53
ABCB10	ABCB10	5	380.13	441.13	351.21
ABCB11	ABCB11	5	5211.61	5141.95	3662.54
ABCB4	ABCB4	8	4627.49	5332.62	4822.68
ABCB6	ABCB6	4	85.31	118.57	87.3
ABCB7	ABCB7	6	316.69	364.34	270.22
ABCB8	ABCB8	1	14.99	8.46	4.92
ABCC1	ABCC1	1	16.8	8.09	9.41
ABCC10	ABCC10	1	33.05	25.34	22.01
ABCC11	ABCC11	1	93.64	87.47	109.34
ABCC12	ABCC12	2	59.05	64.74	102.18
ABCC2	ABCC2	9	7232.79	7256.06	5363.69
ABCC3	ABCC3	2	35.46	42.96	39.67
ABCC4	ABCC4	2	32.85	62.34	26.13
ABCC5	ABCC5	5	143.03	139.93	86.16
ABCC6	ABCC6	4	2947.8	2348.46	1963.7
ABCC9	ABCC9	12	1573.12	1670.09	1141.53
ABCD1	ABCD1	2	213.81	167.46	153.08
ABCD2	ABCD2	1	25.11	22.41	26.38
ABCD3	ABCD3	12	1203.5	1420.0	1599.08
ABCD4	ABCD4	4	159.59	149.37	156.23
ABCE1	ABCE1	9	553.93	708.33	758.5
ABCF1	ABCF1	8	276.1	255.79	291.2
ABCF2	ABCF2	1	106.73	117.21	85.22
ABCF2_LOC113241485	ABCF2_LOC113241485	1	29.94	29.64	26.42
ABCF3	ABCF3	5	419.86	451.92	440.58
ABCG1	ABCG1	1	49.02	44.08	19.57
ABCG2	ABCG2	13	2354.41	2558.16	1919.42
ABCG5	ABCG5	4	422.22	378.56	294.52
ABCG8	ABCG8	5	511.61	431.47	180.19
ABHD10	ABHD10	3	122.05	108.21	99.14
ABHD11	ABHD11	1	61.41	65.96	60.06
ABHD12	ABHD12	1	91.91	78.01	60.05
ABHD13	ABHD13	1	163.47	203.06	192.33
ABHD14A	ABHD14A	1	29.67	23.82	17.4
ABHD14B	ABHD14B	7	759.46	843.51	946.48
ABHD15	ABHD15	2	426.23	408.98	274.46
ABHD16A	ABHD16A	10	458.38	424.12	349.03
ABHD17A	ABHD17A	1	261.16	251.41	262.82
ABHD17B	ABHD17B	2	89.66	115.24	88.99
ABHD18	ABHD18	8	377.12	356.98	207.34
ABHD2	ABHD2	4	130.57	182.37	2038.41
ABHD4	ABHD4	4	173.19	145.81	107.02
ABHD5	ABHD5	3	173.52	185.83	209.37
ABHD6	ABHD6	1	20.63	15.57	4.33
ABHD8	ABHD8	1	33.1	38.72	31.08
ABI1	ABI1	9	528.96	554.53	580.39
ABI3	ABI3	1	18.23	9.02	8.1
ABL1	ABL1	3	211.05	179.28	205.97
ABL2	ABL2	6	177.13	156.25	207.58
