#Transcript	Protein	Gene	Gene Description	Structural Category	Coding	2 T1 MeanExpLevel	2 T2 MeanExpLevel	2 T3 MeanExpLevel
PB.1.14		ND1	ND1	full-splice_match	NO	24924.6	20159.87	24999.66
PB.1.15		ND1	ND1	full-splice_match	NO	2181.84	1476.51	1880.44
PB.1.17		ND2	ND2	full-splice_match	NO	6229.32	4292.95	5003.02
PB.1.2		ttNOVEL	ttNOVEL	full-splice_match	NO	95886.34	45008.32	159206.89
PB.1.3		ttNOVEL	ttNOVEL	full-splice_match	NO	2615.6	1283.19	3307.21
PB.1.4		ttNOVEL	ttNOVEL	full-splice_match	NO	16246.87	4227.5	17534.31
PB.1.6		ttNOVEL	ttNOVEL	full-splice_match	NO	219528.69	162270.08	205288.35
PB.1.7		ttNOVEL	ttNOVEL	full-splice_match	NO	369684.89	183992.56	413352.22
PB.1.8		ttNOVEL	ttNOVEL	full-splice_match	NO	885.1	897.53	614.72
PB.100.1	Protein_PB.100.1	PAXBP1	PAXBP1	full-splice_match	YES	209.48	221.98	202.5
PB.100.2	Protein_PB.100.2	PAXBP1	PAXBP1	novel_not_in_catalog	YES	58.1	81.03	78.88
PB.10001.1	Protein_PB.10001.1	DERA	DERA	full-splice_match	YES	25.79	35.69	39.51
PB.10001.2	Protein_PB.10001.2	DERA	DERA	full-splice_match	YES	6.93	11.32	17.0
PB.10001.3	Protein_PB.10001.3	DERA	DERA	full-splice_match	YES	42.45	51.6	21.2
PB.10001.4	Protein_PB.10001.4	DERA	DERA	novel_not_in_catalog	YES	100.49	96.52	96.93
PB.10001.5	Protein_PB.10001.5	DERA	DERA	novel_not_in_catalog	YES	46.35	59.46	66.5
PB.10001.6	Protein_PB.10001.6	DERA	DERA	novel_in_catalog	YES	26.17	13.57	31.87
PB.10002.1	Protein_PB.10002.1	STRAP	STRAP	full-splice_match	YES	502.69	524.19	417.4
PB.10002.2	Protein_PB.10002.2	STRAP	STRAP	novel_in_catalog	YES	15.85	11.18	16.03
PB.10002.3	Protein_PB.10002.3	STRAP	STRAP	novel_in_catalog	YES	17.42	28.88	44.71
PB.10003.1	Protein_PB.10003.1	PTPRO	PTPRO	novel_in_catalog	YES	16.14	13.41	8.95
PB.10006.2	Protein_PB.10006.2	LOC113257855	LOC113257855	full-splice_match	YES	28.06	31.56	33.43
PB.10007.1	Protein_PB.10007.1	ATF7IP	ATF7IP	full-splice_match	YES	107.41	98.31	79.16
PB.10007.11	Protein_PB.10007.11	ATF7IP	ATF7IP	novel_in_catalog	YES	46.01	4.57	24.56
PB.10007.12	Protein_PB.10007.12	ATF7IP	ATF7IP	full-splice_match	YES	39.07	30.11	38.57
