#Gene	Gene Description	DIU Result	Q-Value	Major Isoform Switching	Switching Times	3 T1 MeanExpLevel	3 T2 MeanExpLevel	3 T3 MeanExpLevel
A4GALT	A4GALT	DIU	0.010121	YES	1,2	142.33	101.3	211.51
AAAS	AAAS	DIU	0.043347	YES	1	54.27	50.06	59.16
AAGAB	AAGAB	Not DIU	0.99061	NO		295.42	378.44	320.51
AAK1	AAK1	Not DIU	0.57953	YES	2	68.57	88.3	111.65
AAMP	AAMP	DIU	0.0053853	NO		438.11	452.68	508.86
AARS	AARS	Not DIU	0.69116	NO		1129.23	1145.41	1234.93
AARSD1	AARSD1	Not DIU	0.41055	NO		221.99	227.91	212.71
AASDH	AASDH	Not DIU	0.37955	YES	2	103.87	114.16	94.07
AASS	AASS	Not DIU	0.82914	NO		369.85	512.51	76.11
ABCA1	ABCA1	Not DIU	0.70805	NO		440.62	437.03	486.63
ABCA5	ABCA5	Not DIU	0.98015	NO		295.3	347.47	316.43
ABCA6	ABCA6	Not DIU	0.95523	NO		88.78	93.19	87.84
ABCA9	ABCA9	Not DIU	0.82422	NO		383.76	323.9	355.37
ABCB10	ABCB10	Not DIU	0.69277	YES	2	619.33	563.97	533.07
ABCB6	ABCB6	DIU	0.0043249	NO		457.47	529.75	331.59
ABCB7	ABCB7	Not DIU	0.3279	NO		303.24	363.25	288.12
ABCC2	ABCC2	Not DIU	0.60504	NO		134.24	114.75	144.68
ABCC4	ABCC4	Not DIU	0.9975	YES	1	228.98	254.84	222.43
ABCC5	ABCC5	Not DIU	0.40375	NO		221.91	170.75	275.73
ABCC9	ABCC9	Not DIU	0.70805	YES	1	1958.45	1958.69	1757.78
ABCD1	ABCD1	Not DIU	0.54383	YES	3	172.71	170.26	108.13
ABCD3	ABCD3	Not DIU	0.35403	NO		239.22	305.99	160.77
ABCE1	ABCE1	Not DIU	0.22744	YES	3	779.62	870.15	768.55
ABCF1	ABCF1	Not DIU	0.39145	NO		546.96	526.49	456.81
ABCG1	ABCG1	Not DIU	0.40778	NO		83.93	97.73	84.06
ABHD10	ABHD10	Not DIU	0.99945	NO		71.23	78.41	43.48
ABHD11	ABHD11	Not DIU	0.961	NO		56.9	63.09	41.61
ABHD17B	ABHD17B	Not DIU	0.62449	NO		86.94	99.18	95.87
ABHD18	ABHD18	Not DIU	0.37435	NO		309.73	527.76	132.73
ABHD4	ABHD4	Not DIU	0.44265	NO		535.79	690.82	368.97
ABHD5	ABHD5	Not DIU	0.4334	NO		124.84	139.42	115.0
ABHD6	ABHD6	DIU	0.026503	NO		57.55	88.73	52.29
ABI1	ABI1	Not DIU	0.66158	YES	1	157.91	130.38	164.63
ABI2	ABI2	Not DIU	0.47867	NO		397.88	506.81	675.04
ABI3BP	ABI3BP	Not DIU	0.32577	NO		264.23	116.04	170.59
ABL1	ABL1	Not DIU	0.99345	NO		189.13	145.69	202.16
ABL2	ABL2	Not DIU	0.7435	YES	1,2	83.27	85.87	98.87
ABLIM1	ABLIM1	Not DIU	0.72252	NO		1101.84	1602.27	2083.82
ABLIM2	ABLIM2	Not DIU	0.85124	NO		621.06	560.59	539.85
ABLIM3	ABLIM3	Not DIU	0.94315	NO		406.56	279.26	168.58
ABR	ABR	Not DIU	0.6255	YES	1	208.09	179.88	179.79
ABRAXAS1	ABRAXAS1	DIU	1.5104E-4	YES	1	51.72	46.45	56.89
ABTB1	ABTB1	DIU	0.023225	NO		126.46	161.43	125.32
ACAA2	ACAA2	Not DIU	0.9544	YES	3	3146.97	4606.52	4793.1
ACACB	ACACB	Not DIU	0.57932	NO		1883.52	2270.56	1347.18
ACAD10	ACAD10	Not DIU	0.99441	NO		38.62	52.09	37.19
ACAD11	ACAD11	Not DIU	0.42146	NO		354.32	422.66	301.84
ACAD8	ACAD8	Not DIU	0.48304	YES	3	260.97	263.13	157.14
ACAD9	ACAD9	Not DIU	0.35525	NO		498.52	541.63	273.25
ACADL	ACADL	Not DIU	0.55509	NO		2799.24	3641.85	1996.46
ACADM	ACADM	Not DIU	0.99347	NO		6366.62	8100.07	7529.84
ACADSB	ACADSB	Not DIU	0.78625	NO		2093.86	2287.68	1310.33
ACAP2	ACAP2	Not DIU	0.31809	NO		243.8	214.15	212.96
ACAP3	ACAP3	Not DIU	0.80529	YES	2	64.94	61.77	45.31
ACAT2	ACAT2	Not DIU	0.4801	YES	1	62.3	55.83	58.91
ACBD3	ACBD3	Not DIU	0.85477	NO		223.82	213.04	250.84
ACBD5	ACBD5	Not DIU	0.32847	YES	2	358.6	414.69	319.06
ACIN1	ACIN1	Not DIU	0.82437	NO		461.25	483.14	533.75
ACO1	ACO1	Not DIU	0.75207	YES	2	339.68	348.09	271.51
ACOT11	ACOT11	Not DIU	0.66192	YES	1,3	572.33	961.55	240.47
