#Gene	Name/Description	Isoforms	3 T1 MeanExpLevel	3 T2 MeanExpLevel	3 T3 MeanExpLevel
A4GALT	A4GALT	4	142.33	101.3	211.51
AAAS	AAAS	2	54.27	50.06	59.16
AACS	AACS	1	92.11	88.02	57.34
AAGAB	AAGAB	3	295.42	378.44	320.51
AAK1	AAK1	3	68.57	88.3	111.65
AAMDC	AAMDC	2	394.5	433.7	351.23
AAMP	AAMP	2	438.11	452.68	508.86
AAR2	AAR2	1	93.19	84.81	80.74
AARS	AARS	3	1129.23	1145.41	1234.93
AARS2	AARS2	1	82.04	101.32	77.34
AARSD1	AARSD1	3	221.99	227.91	212.71
AASDH	AASDH	4	103.87	114.16	94.07
AASDHPPT	AASDHPPT	1	113.08	125.67	144.21
AASS	AASS	4	369.85	512.51	76.11
AATF	AATF	1	99.12	105.8	115.68
ABAT	ABAT	1	70.33	58.35	43.62
ABCA1	ABCA1	3	440.62	437.03	486.63
ABCA3	ABCA3	1	38.47	41.35	29.31
ABCA5	ABCA5	3	295.3	347.47	316.43
ABCA6	ABCA6	2	88.78	93.19	87.84
ABCA9	ABCA9	5	383.76	323.9	355.37
ABCB1	ABCB1	1	33.0	18.86	28.9
ABCB10	ABCB10	4	619.33	563.97	533.07
ABCB6	ABCB6	2	457.47	529.75	331.59
ABCB7	ABCB7	3	303.24	363.25	288.12
ABCB8	ABCB8	1	19.05	17.99	10.31
ABCC1	ABCC1	2	282.88	213.51	224.3
ABCC2	ABCC2	3	134.24	114.75	144.68
ABCC4	ABCC4	3	228.98	254.84	222.43
ABCC5	ABCC5	4	221.91	170.75	275.73
ABCC8	ABCC8	1	5.84	25.48	7.72
ABCC9	ABCC9	14	1958.45	1958.69	1757.78
ABCD1	ABCD1	2	172.71	170.26	108.13
ABCD2	ABCD2	1	35.53	27.0	4.53
ABCD3	ABCD3	2	239.22	305.99	160.77
ABCD4	ABCD4	1	19.45	21.77	22.98
ABCE1	ABCE1	11	779.62	870.15	768.55
ABCF1	ABCF1	8	546.96	526.49	456.81
ABCF2	ABCF2	1	521.75	553.15	420.45
ABCF3	ABCF3	3	689.84	717.29	630.04
ABCG1	ABCG1	2	83.93	97.73	84.06
ABCG2	ABCG2	1	70.61	59.23	78.46
ABHD10	ABHD10	2	71.23	78.41	43.48
ABHD11	ABHD11	3	56.9	63.09	41.61
ABHD12	ABHD12	1	52.9	62.2	45.0
ABHD13	ABHD13	1	112.82	107.73	139.71
ABHD14A	ABHD14A	1	47.71	41.28	44.98
ABHD16A	ABHD16A	1	386.33	536.91	445.39
ABHD17A	ABHD17A	1	554.63	577.03	592.2
ABHD17B	ABHD17B	2	86.94	99.18	95.87
ABHD18	ABHD18	3	309.73	527.76	132.73
ABHD2	ABHD2	2	248.04	314.71	352.06
ABHD4	ABHD4	3	535.79	690.82	368.97
ABHD5	ABHD5	2	124.84	139.42	115.0
ABHD6	ABHD6	2	57.55	88.73	52.29
ABHD8	ABHD8	1	141.27	137.16	96.18
ABI1	ABI1	4	157.91	130.38	164.63
ABI2	ABI2	4	397.88	506.81	675.04
ABI3BP	ABI3BP	4	264.23	116.04	170.59
ABL1	ABL1	2	189.13	145.69	202.16
ABL2	ABL2	4	83.27	85.87	98.87
ABLIM1	ABLIM1	8	1101.84	1602.27	2083.82
ABLIM2	ABLIM2	6	621.06	560.59	539.85
ABLIM3	ABLIM3	3	406.56	279.26	168.58
ABR	ABR	2	208.09	179.88	179.79
ABRA	ABRA	2	2454.69	2163.46	1737.0
ABRAXAS1	ABRAXAS1	3	51.72	46.45	56.89
ABRAXAS2	ABRAXAS2	1	249.07	271.37	258.73
ABT1	ABT1	1	171.1	173.41	125.68
ABTB1	ABTB1	2	126.46	161.43	125.32
ABTB2	ABTB2	1	62.36	74.76	131.42
ACAA1	ACAA1	1	346.17	468.56	402.68
ACAA2	ACAA2	7	3146.97	4606.52	4793.1
ACACB	ACACB	8	1883.52	2270.56	1347.18
ACAD10	ACAD10	2	38.62	52.09	37.19
ACAD11	ACAD11	5	354.32	422.66	301.84
ACAD8	ACAD8	5	260.97	263.13	157.14
ACAD9	ACAD9	2	498.52	541.63	273.25
ACADL	ACADL	6	2799.24	3641.85	1996.46
ACADM	ACADM	3	6366.62	8100.07	7529.84
ACADS	ACADS	3	2059.46	2894.74	2295.05
